Campaign name,By Day,Ad name,Campaign ID,Ad group name,Ad group ID,Ad ID,Cost,Impressions,Clicks (destination),Frequency,Conversions,Video views,2-second video views,6-second video views,Video views at 100%,Video views at 75%,Video views at 50%,Video views at 25%,Average play time per video view,Adds to cart (website),Add to cart value (website),Currency
Newness: Collection Ads  | Conversions | August | Funnel - ROW,2025-10-17,New Arrivals Reactions August Drop 2 | TikTok | ED: 13/11/2025,1839260774432785,Cold #1 - 8/1/2025,1839260774432801,1840530655199362,0.37,61,0,1.02,0,64,10,3,1,1,3,3,1.66,0,0.00,AUD
Seasonal Collection | ROW,2025-10-17,Seasonal Bride To Be | Morven Maxi | Left Right Text | Atelier 2 Campaign Content,1834055653054577,Seasonal Bridal NEW,1834055653055553,1843604981944545,0.37,67,0,1.14,0,62,7,2,1,1,1,5,1.35,0,0.00,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Europe,2025-10-13,PR Content Gabbi Farias Lindsey Deep Olive GRWM | TikTok | ED: 30/12/2025,1842431186105393,Cold #3 - 24/9/2025,1844241526585362,1844767158220977,0.37,51,0,1.02,0,49,13,4,0,0,0,5,2.05,0,0.00,AUD
Newness: Collection Ads  | Conversions | September | Funnel - Australia 13-17,2025-10-19,Indianna Cherry Lacquer Reaction | TikTok | ED: 09/12/2025,1842332114924626,Cold #1 - 4/9/2025,1842332114924642,1842866153059457,0.37,26,5,8.67,0,18,11,11,9,9,9,11,9.74,0,0.00,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Europe,2025-10-17,Rowan + Atlanta Rust Pan Up | TikTok | ED: 11/12/2025,1842431186105393,Cold #2 - 12/9/2025,1843043473858705,1843043557243906,0.37,142,1,1.02,0,140,33,10,4,11,17,34,1.90,0,0.00,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-18,Aurelia Reaction Yas | TikTok | ED: 04/12/2025,1842432041382946,Cold #1 - 4/9/2025,1842432041382962,1842432041387074,0.37,21,0,1.24,0,11,2,1,0,0,0,1,1.89,0,0.00,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Top Markets,2025-10-17,Babyboo Suiting Reactions Yas | TikTok | ED: 25/12/2025,1842432041382946,Cold #3 - 24/9/2025,1844240447240433,1844320770379778,0.37,113,3,5.38,0,103,4,3,3,4,4,4,0.78,0,0.00,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-19,PR Content Valerie Lungu Mona Ivory | TikTok | ED: 01/01/2026,1844953045703745,Cold #1 - 3/10/2025,1845141014880338,1845141357021233,0.37,53,0,13.25,0,53,7,1,1,1,2,6,1.43,0,0.00,AUD
Newness: Collection Ads  | Conversions - CPA | October | Funnel - Top Markets,2025-10-19,Boosted | Video | Campaign | Treadmill | Standard | Julia - Babyboo Suiting | ED: 06/01/2026,1844953045703745,Cold #1 - 3/10/2025,1845141014880338,1845401253224690,0.37,64,0,7.11,0,64,6,2,1,1,1,2,1.45,0,0.00,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - US,2025-10-19,Keira Twirl Ivory | TikTok | ED: 28/12/2025,1842432547494225,Cold #2 - 12/9/2025,1843042348831761,1843276462783602,0.37,37,1,7.40,0,37,5,3,1,1,2,3,1.73,0,0.00,AUD
Newness: Collection Ads  | Conversions | August | Funnel - ROW,2025-10-13,New Arrivals Reactions August Drop 2 | TikTok | ED: 13/11/2025,1839260774432785,Cold #1 - 8/1/2025,1839260774432801,1840530655199362,0.37,47,1,1.04,0,49,6,2,0,0,2,3,1.44,0,0.00,AUD
Newness: Collection Ads | Conversions - CPA | October | Top Markets,2025-10-13,Ad | Video | Campaign | GRWM | Willow Coat Choc & Beige | ED: 30/12/2025,1845228052428834,Drop- #1 | ED: 30/12/2025,1845228200848545,1845228387564689,0.37,73,0,1.00,0,69,12,3,0,0,1,3,1.55,0,0.00,AUD
Newness: Collection Ads  | Conversions | August | Funnel - ROW,2025-10-19,Deliliah Twinsy GRWM Blush and Plum | TikTok | ED: 07/11/2025,1839260774432785,Cold #1 - 8/1/2025,1839260774432801,1840152349166705,0.37,70,1,2.33,0,71,16,9,1,2,2,9,2.23,0,0.00,AUD
Seasonal Collection | US Only,2025-10-19,Seasonal Birthday | @monicatatong | Logo Only | PR Content,1841693723595922,Seasonal Birthday,1842067433032785,1842980637487137,0.37,46,0,1.44,0,46,8,1,0,1,1,2,1.81,0,0.00,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Europe,2025-10-19,Argy Talking BTS Suiting | TikTok | ED: 30/12/2025,1842431186105393,Cold #3 - 24/9/2025,1844241526585362,1844767893623873,0.37,131,0,1.82,0,130,16,3,0,0,0,2,1.34,0,0.00,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - Europe,2025-10-18,Babyboo Suiting Reactions Yas | TikTok | ED: 25/12/2025,1842431186105393,Cold #3 - 24/9/2025,1844241526585362,1844320487605521,0.37,122,1,1.03,0,121,11,2,0,0,1,2,1.21,0,0.00,AUD
Newness: Collection Ads  | Conversions | August | Funnel - Top Markets,2025-10-14,Nerdia Set Orange Pan Up | TikTok | ED: 15/11/2025,1839260273016914,Cold #1 - 8/1/2025 US excluded,1841504672272466,1841504672276546,0.36,27,1,1.08,0,22,6,4,1,4,4,6,3.21,0,0.00,AUD
Newness: Collection Ads  | Conversions - CPA | September | Funnel - ROW,2025-10-13,Amara Top & Ausra Bermuda Shorts Fit Check | TikTok | ED: 24/12/2025,1842432392750258,Cold #3 - 24/9/2025,1844243764202625,1844244393439249,0.36,68,12,1.19,0,86,26,19,14,14,14,24,4.04,0,0.00,AUD
